adduser	3.134
apt	2.6.1
base-files	12.4+deb12u15
base-passwd	3.6.1
bash	5.2.15-2+b13
bsdutils	1:2.38.1-5+deb12u3
ca-certificates	20250419~deb12u1
coreutils	9.1-1
curl	7.88.1-10+deb12u15
dash	0.5.12-2
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dpkg	1.21.23
e2fsprogs	1.47.0-2+b2
file	1:5.44-3
findutils	4.9.0-4
gcc-12-base	12.2.0-14+deb12u1
gpgv	2.2.40-1.1+deb12u2
grep	3.8-5
gzip	1.12-1
hostname	3.23+nmu1
init-system-helpers	1.65.2+deb12u1
libacl1	2.3.1-3
libapt-pkg6.0	2.6.1
libargon2-1	0~20171227-0.3+deb12u1
libattr1	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1	1:3.0.9-1
libblkid1	2.38.1-5+deb12u3
libbrotli1	1.0.9-2+b6
libbz2-1.0	1.0.8-5+b1
libc-bin	2.36-9+deb12u14
libc6	2.36-9+deb12u14
libcap-ng0	0.8.3-1+b3
libcap2	1:2.66-4+deb12u3+b1
libcom-err2	1.47.0-2+b2
libcrypt1	1:4.4.33-2
libcurl4	7.88.1-10+deb12u15
libdb5.3	5.3.28+dfsg2-1
libdebconfclient0	0.270
libext2fs2	1.47.0-2+b2
libffi8	3.4.4-1
libfreetype6	2.12.1+dfsg-5+deb12u4
libgcc-s1	12.2.0-14+deb12u1
libgcrypt20	1.10.1-3+deb12u1
libgmp10	2:6.2.1+dfsg1-1.1
libgnutls30	3.7.9-2+deb12u7
libgpg-error0	1.46-1
libgssapi-krb5-2	1.20.1-2+deb12u5
libhogweed6	3.8.1-2
libicu72	72.1-3+deb12u1
libidn2-0	2.3.3-1+b1
libjpeg62-turbo	1:2.1.5-2
libk5crypto3	1.20.1-2+deb12u5
libkeyutils1	1.6.3-2
libkrb5-3	1.20.1-2+deb12u5
libkrb5support0	1.20.1-2+deb12u5
libldap-2.5-0	2.5.13+dfsg-5
liblz4-1	1.9.4-1
liblzma5	5.4.1-1+deb12u1
libmagic-mgc	1:5.44-3
libmagic1	1:5.44-3
libmd0	1.0.4-2
libmount1	2.38.1-5+deb12u3
libnettle8	3.8.1-2
libnghttp2-14	1.52.0-1+deb12u3
libonig5	6.9.8-1
libp11-kit0	0.24.1-2
libpam-modules	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam0g	1.5.2-6+deb12u2
libpcre2-8-0	10.42-1
libpkgconf3	1.8.1-1
libpng16-16	1.6.39-2+deb12u5
libpq5	15.19-0+deb12u1
libpsl5	0.21.2-1
libreadline8	8.2-1.3
librtmp1	2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2	2.1.28+dfsg-10
libsasl2-modules-db	2.1.28+dfsg-10
libseccomp2	2.5.4-1+deb12u1
libselinux1	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2	3.4-1+b5
libsepol2	3.4-2.1
libsmartcols1	2.38.1-5+deb12u3
libsodium23	1.0.18-1+deb12u1
libsqlite3-0	3.40.1-2+deb12u2
libss2	1.47.0-2+b2
libssh2-1	1.10.0-3+b1
libssl3	3.0.20-1~deb12u2
libstdc++6	12.2.0-14+deb12u1
libsystemd0	252.39-1~deb12u2
libtasn1-6	4.19.0-2+deb12u1
libtinfo6	6.4-4
libudev1	252.39-1~deb12u2
libunistring2	1.0-2
libuuid1	2.38.1-5+deb12u3
libxml2	2.9.14+dfsg-1.3~deb12u6
libxxhash0	0.8.1-1
libzip4	1.7.3-1+b1
libzstd1	1.5.4+dfsg2-5
login	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2
mawk	1.3.4.20200120-3.1
mount	2.38.1-5+deb12u3
ncurses-base	6.4-4
ncurses-bin	6.4-4
openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2
perl-base	5.36.0-7+deb12u3
pkg-config	1.8.1-1
pkgconf	1.8.1-1
pkgconf-bin	1.8.1-1
readline-common	8.2-1.3
sed	4.9-1+deb12u1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
xz-utils	5.4.1-1+deb12u1
zlib1g	1:1.2.13.dfsg-1
