adduser	3.134
apt	2.6.1
base-files	12.4+deb12u15
base-passwd	3.6.1
bash	5.2.15-2+b13
binutils-common	2.40-2
binutils-x86-64-linux-gnu	2.40-2
bsdutils	1:2.38.1-5+deb12u3
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
coreutils	9.1-1
cpp-12	12.2.0-14+deb12u1
curl	7.88.1-10+deb12u15
dash	0.5.12-2
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dpkg	1.21.23
e2fsprogs	1.47.0-2+b2
file	1:5.44-3
findutils	4.9.0-4
gcc-12-base	12.2.0-14+deb12u1
gpgv	2.2.40-1.1+deb12u2
grep	3.8-5
gzip	1.12-1
hostname	3.23+nmu1
init-system-helpers	1.65.2+deb12u1
libabsl20220623	20220623.1-1+deb12u2
libacl1	2.3.1-3
libaom3	3.6.0-1+deb12u2
libapt-pkg6.0	2.6.1
libargon2-1	0~20171227-0.3+deb12u1
libasan8	12.2.0-14+deb12u1
libatomic1	12.2.0-14+deb12u1
libattr1	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1	1:3.0.9-1
libavif15	0.11.1-1+deb12u1
libbinutils	2.40-2
libblkid1	2.38.1-5+deb12u3
libbrotli1	1.0.9-2+b6
libbsd0	0.11.7-2
libbz2-1.0	1.0.8-5+b1
libc-bin	2.36-9+deb12u14
libc-dev-bin	2.36-9+deb12u14
libc6	2.36-9+deb12u14
libcap-ng0	0.8.3-1+b3
libcap2	1:2.66-4+deb12u3+b1
libcc1-0	12.2.0-14+deb12u1
libcom-err2	1.47.0-2+b2
libcrypt-dev	1:4.4.33-2
libcrypt1	1:4.4.33-2
libctf-nobfd0	2.40-2
libctf0	2.40-2
libcurl4	7.88.1-10+deb12u15
libdav1d6	1.0.0-2+deb12u1
libdb5.3	5.3.28+dfsg2-1
libdebconfclient0	0.270
libdpkg-perl	1.21.23
libext2fs2	1.47.0-2+b2
libffi8	3.4.4-1
libfreetype6	2.12.1+dfsg-5+deb12u4
libgav1-1	0.18.0-1+b1
libgcc-12-dev	12.2.0-14+deb12u1
libgcc-s1	12.2.0-14+deb12u1
libgcrypt20	1.10.1-3+deb12u1
libgdbm-compat4	1.23-3
libgdbm6	1.23-3
libgmp10	2:6.2.1+dfsg1-1.1
libgnutls30	3.7.9-2+deb12u7
libgomp1	12.2.0-14+deb12u1
libgpg-error0	1.46-1
libgprofng0	2.40-2
libgssapi-krb5-2	1.20.1-2+deb12u5
libhogweed6	3.8.1-2
libicu72	72.1-3+deb12u1
libidn2-0	2.3.3-1+b1
libisl23	0.25-1.1
libitm1	12.2.0-14+deb12u1
libjansson4	2.14-2
libjpeg62-turbo	1:2.1.5-2
libk5crypto3	1.20.1-2+deb12u5
libkeyutils1	1.6.3-2
libkrb5-3	1.20.1-2+deb12u5
